Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2019-08-18,"10,327.0","10,230.0","10,529.0","10,086.0",3.90K,0.97%,,,,,,-0.3468739986419678,Negative,Negative
2019-08-19,"10,937.0","10,329.0","10,960.0","10,280.0",7.38K,5.91%,"26,135.79","8,002.81","2,923.70",1511.6,59.79,-0.05979615537559285,Negative,Negative
2019-08-20,"10,793.0","10,947.0","10,986.0","10,588.0",5.83K,-1.32%,"25,962.44","7,948.56","2,900.50",1515.7,59.03,-0.03087021754338191,Negative,Positive
2019-08-21,"10,146.0","10,795.0","10,825.0","9,880.0",11.79K,-5.99%,"26,202.73","8,020.21","2,924.40",1515.7,60.6,-0.05660476343972343,Negative,Negative
2019-08-22,"10,117.0","10,147.0","10,247.0","9,790.0",6.53K,-0.29%,"26,252.24","7,991.39","2,922.90",1508.5,59.81,-0.1380030403534571,Positive,Negative
2019-08-23,"10,408.0","10,117.0","10,461.0","10,063.0",6.39K,2.88%,"25,628.90","7,751.77","2,847.10",1537.6,58.64,-0.03058813938072749,Positive,Negative
2019-08-24,"10,152.0","10,414.0","10,427.0","9,900.0",5.41K,-2.46%,,,,,,-0.1568331695519961,Negative,Negative
2019-08-25,"10,132.0","10,162.0","10,349.0","9,881.1",5.21K,-0.20%,,,,,,-0.04754881696267561,Positive,Negative
2019-08-26,"10,377.0","10,144.0","10,654.0","10,144.0",8.98K,2.42%,"25,898.83","7,853.73","2,878.40",1537.2,58.64,-0.1157434654646906,Negative,Negative
2019-08-27,"10,184.0","10,376.2","10,392.0","10,036.9",4.52K,-1.86%,"25,777.90","7,826.95","2,869.20",1551.8,58.44,0.03981070986815861,Negative,Positive
2019-08-28,"9,727.4","10,190.0","10,303.0","9,585.3",10.41K,-4.48%,"26,036.10","7,856.88","2,887.90",1549.1,60.42,-0.2005539255009757,Negative,Negative
2019-08-29,"9,509.0","9,727.3","9,727.3","9,360.4",7.08K,-2.25%,"26,362.25","7,973.39","2,924.60",1536.9,60.59,-0.09895805269479752,Positive,Negative
2019-08-30,"9,601.0","9,509.4","9,710.0","9,384.3",3.75K,0.97%,"26,403.28","7,962.88","2,926.50",1557.2,61.04,0.03037019741946253,Negative,Positive
