Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2021-04-28,54860.0,55044.0,55575.0,54090.0,5760.0,-0.0033,33820.38,14051.03,4183.2,1773.9,67.08,0.03172780211482729,Positive,Positive
2021-04-29,53566.0,54860.0,54860.0,52631.0,7080.0,-0.0236,34060.36,14082.55,4211.5,1774.2,68.26,0.04663801778640066,Negative,Positive
2021-04-30,57637.0,53566.0,57637.0,53339.0,7860.0,0.076,33874.85,13962.68,4181.2,1773.6,67.73,-0.06246386434544216,Negative,Negative
2021-05-01,57774.0,57634.7,58265.0,57259.0,4320.0,0.0024,33874.85,13962.68,4181.2,1773.6,67.73,-0.09965745471417904,Negative,Negative
2021-05-02,56605.0,57774.0,57774.0,56385.0,4200.0,-0.0202,33874.85,13962.68,4181.2,1773.6,67.73,-0.1045303292745768,Positive,Negative
2021-05-03,57147.0,56605.0,58686.0,56605.0,7630.0,0.0096,34113.23,13895.12,4192.7,1791.8,67.73,0.06949107774666377,Positive,Positive
2021-05-04,53264.0,57147.0,57147.0,53264.0,10030.0,-0.0679,34133.03,13633.5,4164.7,1776.0,68.91,0.008164510130882263,Positive,Positive
2021-05-05,57477.0,52960.0,57477.0,52960.0,7660.0,0.0791,34230.34,13582.42,4167.6,1784.3,69.71,0.03491112283047508,Positive,Positive
2021-05-06,56451.0,57487.0,57843.0,55897.0,10440.0,-0.0179,34548.53,13632.84,4201.6,1815.7,68.62,-0.05023185600494516,Positive,Negative
2021-05-07,57349.0,56451.0,58101.0,55606.0,6930.0,0.0159,34777.76,13752.24,4232.6,1839.2,68.73,0.0186954000416924,Positive,Positive
2021-05-08,58894.0,57349.0,59327.0,57317.0,7610.0,0.0269,34777.76,13752.24,4232.6,1839.2,68.73,-0.03164422512054443,Negative,Positive
2021-05-09,58276.0,58894.0,58956.5,56977.0,8480.0,-0.0105,34777.76,13752.24,4232.6,1839.2,68.73,-0.03205191796901179,Positive,Negative
2021-05-10,55851.0,58276.0,59454.3,55448.0,13490.0,-0.0416,34742.82,13401.86,4188.4,1837.6,68.61,0.05145919834499928,Positive,Positive
2021-05-11,56715.0,55851.0,56724.0,54789.0,7690.0,0.0155,34269.16,13389.43,4152.1,1836.1,68.83,-0.03186850780147617,Negative,Negative
2021-05-12,49725.0,56715.0,57688.0,49725.0,14960.0,-0.1232,33587.66,13031.68,4063.0,1822.8,69.62,-0.06780884521348136,Positive,Negative
2021-05-13,49747.0,49725.0,51154.0,48120.6,21160.0,0.0004,34021.45,13124.99,4112.5,1824.0,67.36,-0.1608526275708125,Negative,Negative
2021-05-14,49917.0,49747.0,51168.0,49289.0,6050.0,0.0034000000000000002,34382.13,13429.98,4173.9,1843.9,69.24,0.09333670296167072,Negative,Positive
2021-05-15,46784.9,49917.0,50526.2,46784.9,9490.0,-0.06269999999999999,34382.13,13429.98,4173.9,1843.9,69.24,0.02529844579597314,Positive,Positive
2021-05-16,46582.9,46784.9,49460.0,45340.0,19060.0,-0.0043,34382.13,13429.98,4173.9,1843.9,69.24,-0.03237586778899034,Positive,Positive
2021-05-17,43544.0,46569.0,46569.0,42304.0,37720.0,-0.0652,34327.79,13379.05,4163.3,1867.6,69.62,-0.03940523375164379,Positive,Negative
2021-05-18,42935.0,43544.0,45474.0,42611.8,10720.0,-0.013999999999999999,34060.66,13303.64,4127.8,1868.0,69.01,-0.04951392547650771,Negative,Negative
2021-05-19,36755.0,42935.0,42935.0,35303.4,67820.0,-0.1439,33896.04,13299.74,4115.7,1881.5,66.88,-0.3013502672070362,Negative,Negative
2021-05-20,40578.0,36755.0,41827.0,35198.4,25600.0,0.10400000000000001,34084.15,13535.74,4159.1,1881.9,65.18,-0.0349580469456586,Negative,Negative
2021-05-21,37415.0,40550.1,41500.0,35188.0,23310.0,-0.0779,34207.84,13470.99,4155.9,1882.5,66.72,-0.04741360048453013,Negative,Negative
2021-05-22,37585.0,37415.0,38662.0,36150.0,13560.0,0.0045000000000000005,34207.84,13470.99,4155.9,1882.5,66.72,-0.210898756980896,Negative,Negative
2021-05-23,34730.3,37585.0,38186.0,32623.0,25990.0,-0.076,34207.84,13470.99,4155.9,1882.5,66.72,-0.2343077546841389,Negative,Negative
2021-05-24,38772.9,34730.3,39201.0,34730.3,15130.0,0.1164,34393.98,13661.17,4197.1,1884.5,68.59,-0.08226956240832806,Positive,Negative
2021-05-25,38363.0,38772.9,39761.0,36760.5,7770.0,-0.0106,34312.46,13657.17,4188.1,1898.0,68.8,0.07620643904166562,Positive,Positive
2021-05-26,39301.0,38363.0,40497.8,38020.2,8610.0,0.0245,34323.05,13738.0,4196.0,1903.8,68.93,0.06366407630198143,Positive,Positive
2021-05-27,38435.0,39301.0,40120.0,37381.0,5550.0,-0.022000000000000002,34464.64,13736.28,4200.9,1898.5,69.43,-0.07681810594088323,Positive,Negative
2021-05-28,35667.0,38484.7,38484.7,35028.0,10220.0,-0.07200000000000001,34529.45,13748.74,4204.1,1906.9,69.36,-0.1605650318993462,Negative,Negative
2021-05-29,34570.0,35667.0,36910.5,33681.0,7760.0,-0.0308,34529.45,13748.74,4204.1,1906.9,69.36,-0.09940044152048919,Negative,Negative
2021-05-30,35615.0,34570.0,36138.0,33680.0,6020.0,0.0302,34529.45,13748.74,4204.1,1906.9,69.36,-0.08102388400584459,Positive,Negative
2021-05-31,37305.0,35615.0,37305.0,34527.0,5980.0,0.0475,34529.45,13748.74,4204.1,1913.2,69.36,-0.1017676792920582,Positive,Negative
2021-06-01,36672.6,37305.0,37624.8,35928.0,5290.0,-0.017,34575.31,13736.48,4202.0,1905.0,70.03,-0.02010846656301747,Positive,Negative
